size,sizeNext,time,individual,temp,surv,stage
0.0,9.664,8,F4_1,4,1,adult
9.664,27.072,3,F4_1,4,1,adult
27.072,2.976,3,F4_1,4,1,adult
2.976,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,2.432,3,F4_1,4,1,adult
2.432,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,1.152,3,F4_1,4,1,adult
1.152,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,6.768,3,F4_1,4,1,adult
6.768,0.0,3,F4_1,4,1,adult
0.0,2.832,3,F4_1,4,1,adult
2.832,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,0.0,3,F4_1,4,1,adult
0.0,5.816,3,F4_1,4,1,adult
5.816,3.312,3,F4_1,4,1,adult
3.312,0.648,3,F4_1,4,1,adult
0.648,6.096,3,F4_1,4,1,adult
6.096,0.0,3,F4_1,4,1,adult
0.0,4.944,3,F4_1,4,1,adult
4.944,4.952,3,F4_1,4,1,adult
4.952,7.032,3,F4_1,4,1,adult
7.032,12.944,3,F4_1,4,1,adult
12.944,1.896,3,F4_1,4,1,adult
1.896,55.448,3,F4_1,4,1,adult
55.448,3.456,3,F4_1,4,1,adult
3.456,64.424,3,F4_1,4,1,adult
64.424,747.648,3,F4_1,4,1,adult
747.648,64.152,3,F4_1,4,1,adult
64.152,29.528,3,F4_1,4,1,adult
29.528,3.536,3,F4_1,4,1,adult
3.536,13.896,3,F4_1,4,1,adult
13.896,19.4,3,F4_1,4,1,adult
19.4,206.208,3,F4_1,4,1,adult
206.208,0.0,120,F4_1,4,1,adult
0.0,59.088,8,F4_2,4,1,adult
59.088,77.304,3,F4_2,4,1,adult
77.304,4.456,3,F4_2,4,1,adult
4.456,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,2.048,3,F4_2,4,1,adult
2.048,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.656,3,F4_2,4,1,adult
0.656,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,3,F4_2,4,1,adult
0.0,0.0,120,F4_2,4,1,adult
0.0,4.976,8,F4_3,4,1,adult
4.976,23.848,3,F4_3,4,1,adult
23.848,2.656,3,F4_3,4,1,adult
2.656,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,17.44,3,F4_3,4,1,adult
17.44,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,1.672,3,F4_3,4,1,adult
1.672,0.0,3,F4_3,4,1,adult
0.0,25.144,3,F4_3,4,1,adult
25.144,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,2.236,3,F4_3,4,1,adult
2.236,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,2.416,3,F4_3,4,1,adult
2.416,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,3,F4_3,4,1,adult
0.0,0.0,120,F4_3,4,1,adult
0.0,193.832,8,F4_4,4,1,adult
193.832,61.656,3,F4_4,4,1,adult
61.656,0.0,3,F4_4,4,1,adult
0.0,0.392,3,F4_4,4,1,adult
0.392,0.0,3,F4_4,4,1,adult
0.0,5.264,3,F4_4,4,1,adult
5.264,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,11.4,3,F4_4,4,1,adult
11.4,0.488,3,F4_4,4,1,adult
0.488,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,1.024,3,F4_4,4,1,adult
1.024,0.0,3,F4_4,4,1,adult
0.0,1.736,3,F4_4,4,1,adult
1.736,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,1.648,3,F4_4,4,1,adult
1.648,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,,3,F4_4,4,0,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,120,F4_4,4,1,adult
0.0,125.976,8,F4_5,4,1,adult
125.976,32.024,3,F4_5,4,1,adult
32.024,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,3.776,3,F4_5,4,1,adult
3.776,0.944,3,F4_5,4,1,adult
0.944,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,3.912,3,F4_5,4,1,adult
3.912,0.0,3,F4_5,4,1,adult
0.0,2.752,3,F4_5,4,1,adult
2.752,6.912,3,F4_5,4,1,adult
6.912,0.792,3,F4_5,4,1,adult
0.792,1.188,3,F4_5,4,1,adult
1.188,1.696,3,F4_5,4,1,adult
1.696,0.0,3,F4_5,4,1,adult
0.0,9.688,3,F4_5,4,1,adult
9.688,31.408,3,F4_5,4,1,adult
31.408,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,1.776,3,F4_5,4,1,adult
1.776,7.528,3,F4_5,4,1,adult
7.528,0.0,3,F4_5,4,1,adult
0.0,6.168,3,F4_5,4,1,adult
6.168,2.816,3,F4_5,4,1,adult
2.816,6.792,3,F4_5,4,1,adult
6.792,2.048,3,F4_5,4,1,adult
2.048,1.368,3,F4_5,4,1,adult
1.368,0.32,3,F4_5,4,1,adult
0.32,0.0,3,F4_5,4,1,adult
0.0,8.704,3,F4_5,4,1,adult
8.704,0.0,120,F4_5,4,1,adult
0.0,15.64,8,F12_1,12,1,adult
15.64,2.84,3,F12_1,12,1,adult
2.84,81.52,3,F12_1,12,1,adult
81.52,0.0,3,F12_1,12,1,adult
0.0,15.664,3,F12_1,12,1,adult
15.664,50.368,3,F12_1,12,1,adult
50.368,0.0,3,F12_1,12,1,adult
0.0,0.0,3,F12_1,12,1,adult
0.0,4.048,3,F12_1,12,1,adult
4.048,24.528,3,F12_1,12,1,adult
24.528,2.888,3,F12_1,12,1,adult
2.888,146.72,3,F12_1,12,1,adult
146.72,76.336,3,F12_1,12,1,adult
76.336,127.624,3,F12_1,12,1,adult
127.624,56.56,3,F12_1,12,1,adult
56.56,7.44,3,F12_1,12,1,adult
7.44,15.536,3,F12_1,12,1,adult
15.536,704.824,3,F12_1,12,1,adult
704.824,158.904,3,F12_1,12,1,adult
158.904,296.248,3,F12_1,12,1,adult
296.248,7616.488,3,F12_1,12,1,adult
7616.488,3306.224,3,F12_1,12,1,adult
3306.224,538.776,3,F12_1,12,1,adult
538.776,11004.568,3,F12_1,12,1,adult
11004.568,6396.448,3,F12_1,12,1,adult
6396.448,7927.088,3,F12_1,12,1,adult
7927.088,4057.192,3,F12_1,12,1,adult
4057.192,0.0,3,F12_1,12,1,adult
0.0,1283.088,3,F12_1,12,1,adult
1283.088,33116.504,3,F12_1,12,1,adult
33116.504,91842.224,3,F12_1,12,1,adult
91842.224,31783.976,3,F12_1,12,1,adult
31783.976,0.0,3,F12_1,12,1,adult
0.0,135593.288,3,F12_1,12,1,adult
135593.288,35561.192,3,F12_1,12,1,adult
35561.192,209348.832,3,F12_1,12,1,adult
209348.832,82029.912,3,F12_1,12,1,adult
82029.912,17774.392,3,F12_1,12,1,adult
0.0,13.432,8,F12_2,12,1,adult
13.432,0.0,3,F12_2,12,1,adult
0.0,47.304,3,F12_2,12,1,adult
47.304,7.368,3,F12_2,12,1,adult
7.368,0.0,3,F12_2,12,1,adult
0.0,142.712,3,F12_2,12,1,adult
142.712,4.208,3,F12_2,12,1,adult
4.208,0.0,3,F12_2,12,1,adult
0.0,4.264,3,F12_2,12,1,adult
4.264,4.608,3,F12_2,12,1,adult
4.608,0.0,3,F12_2,12,1,adult
0.0,138.808,3,F12_2,12,1,adult
138.808,7.608,3,F12_2,12,1,adult
7.608,11.696,3,F12_2,12,1,adult
11.696,0.0,3,F12_2,12,1,adult
0.0,8.192,3,F12_2,12,1,adult
8.192,5.08,3,F12_2,12,1,adult
5.08,32.592,3,F12_2,12,1,adult
32.592,25.64,3,F12_2,12,1,adult
25.64,56.248,3,F12_2,12,1,adult
56.248,207.84,3,F12_2,12,1,adult
207.84,400.488,3,F12_2,12,1,adult
400.488,305.112,3,F12_2,12,1,adult
305.112,466.464,3,F12_2,12,1,adult
466.464,625.648,3,F12_2,12,1,adult
625.648,1205.72,3,F12_2,12,1,adult
1205.72,407.688,3,F12_2,12,1,adult
407.688,3.408,3,F12_2,12,1,adult
3.408,4510.448,3,F12_2,12,1,adult
4510.448,11840.096,3,F12_2,12,1,adult
11840.096,13430.76,3,F12_2,12,1,adult
13430.76,12294.552,3,F12_2,12,1,adult
12294.552,38842.808,3,F12_2,12,1,adult
38842.808,84934.752,3,F12_2,12,1,adult
84934.752,26454.376,3,F12_2,12,1,adult
26454.376,47342.656,3,F12_2,12,1,adult
47342.656,24076.488,3,F12_2,12,1,adult
24076.488,71993.992,3,F12_2,12,1,adult
71993.992,0.0,120,F12_2,12,1,adult
0.0,2.384,8,F12_3,12,1,adult
2.384,0.0,3,F12_3,12,1,adult
0.0,31.624,3,F12_3,12,1,adult
31.624,1.96,3,F12_3,12,1,adult
1.96,0.56,3,F12_3,12,1,adult
0.56,37.104,3,F12_3,12,1,adult
37.104,0.64,3,F12_3,12,1,adult
0.64,0.0,3,F12_3,12,1,adult
0.0,4.144,3,F12_3,12,1,adult
4.144,44.336,3,F12_3,12,1,adult
44.336,1.944,3,F12_3,12,1,adult
1.944,87.136,3,F12_3,12,1,adult
87.136,3.824,3,F12_3,12,1,adult
3.824,20.712,3,F12_3,12,1,adult
20.712,0.0,3,F12_3,12,1,adult
0.0,2.432,3,F12_3,12,1,adult
2.432,4.672,3,F12_3,12,1,adult
4.672,98.528,3,F12_3,12,1,adult
98.528,14.376,3,F12_3,12,1,adult
14.376,18.04,3,F12_3,12,1,adult
18.04,83.68,3,F12_3,12,1,adult
83.68,27.216,3,F12_3,12,1,adult
27.216,1.432,3,F12_3,12,1,adult
1.432,132.072,3,F12_3,12,1,adult
132.072,9.36,3,F12_3,12,1,adult
9.36,14.744,3,F12_3,12,1,adult
14.744,41.4,3,F12_3,12,1,adult
41.4,8.208,3,F12_3,12,1,adult
8.208,2.76,3,F12_3,12,1,adult
2.76,1826.432,3,F12_3,12,1,adult
1826.432,92.824,3,F12_3,12,1,adult
92.824,22.168,3,F12_3,12,1,adult
22.168,1137.736,3,F12_3,12,1,adult
1137.736,29.968,3,F12_3,12,1,adult
29.968,1337.64,3,F12_3,12,1,adult
1337.64,1355.728,3,F12_3,12,1,adult
1355.728,3082.304,3,F12_3,12,1,adult
3082.304,292.016,3,F12_3,12,1,adult
0.0,15.112,8,F12_4,12,1,adult
15.112,0.0,3,F12_4,12,1,adult
0.0,21.28,3,F12_4,12,1,adult
21.28,2.752,3,F12_4,12,1,adult
2.752,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.528,3,F12_4,12,1,adult
0.528,1.28,3,F12_4,12,1,adult
1.28,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,42.496,3,F12_4,12,1,adult
42.496,16.96,3,F12_4,12,1,adult
16.96,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,3,F12_4,12,1,adult
0.0,0.0,120,F12_4,12,1,adult
0.0,53.448,8,F12_5,12,1,adult
53.448,2.8,3,F12_5,12,1,adult
2.8,52.152,3,F12_5,12,1,adult
52.152,34.88,3,F12_5,12,1,adult
34.88,0.0,3,F12_5,12,1,adult
0.0,23.4,3,F12_5,12,1,adult
23.4,0.0,3,F12_5,12,1,adult
0.0,0.0,3,F12_5,12,1,adult
0.0,0.624,3,F12_5,12,1,adult
0.624,5.56,3,F12_5,12,1,adult
5.56,4.528,3,F12_5,12,1,adult
4.528,99.736,3,F12_5,12,1,adult
99.736,37.504,3,F12_5,12,1,adult
37.504,27.384,3,F12_5,12,1,adult
27.384,0.0,3,F12_5,12,1,adult
0.0,8.32,3,F12_5,12,1,adult
8.32,5.944,3,F12_5,12,1,adult
5.944,76.376,3,F12_5,12,1,adult
76.376,6.792,3,F12_5,12,1,adult
6.792,50.24,3,F12_5,12,1,adult
50.24,143.176,3,F12_5,12,1,adult
143.176,285.696,3,F12_5,12,1,adult
285.696,332.472,3,F12_5,12,1,adult
332.472,26.968,3,F12_5,12,1,adult
26.968,163.704,3,F12_5,12,1,adult
163.704,260.128,3,F12_5,12,1,adult
260.128,287.24,3,F12_5,12,1,adult
287.24,3.12,3,F12_5,12,1,adult
3.12,103.512,3,F12_5,12,1,adult
103.512,5385.48,3,F12_5,12,1,adult
5385.48,4147.16,3,F12_5,12,1,adult
4147.16,815.216,3,F12_5,12,1,adult
815.216,7311.336,3,F12_5,12,1,adult
7311.336,14238.224,3,F12_5,12,1,adult
14238.224,14717.336,3,F12_5,12,1,adult
14717.336,26468.944,3,F12_5,12,1,adult
26468.944,10242.272,3,F12_5,12,1,adult
10242.272,14366.4,3,F12_5,12,1,adult
0.0,4.384,8,F20_1,20,1,adult
4.384,95.912,3,F20_1,20,1,adult
95.912,108.92,3,F20_1,20,1,adult
108.92,512.6,3,F20_1,20,1,adult
512.6,13573.744,3,F20_1,20,1,adult
13573.744,58372.584,3,F20_1,20,1,adult
58372.584,10995.12,3,F20_1,20,1,adult
10995.12,6111.744,3,F20_1,20,1,adult
6111.744,19869.44,3,F20_1,20,1,adult
19869.44,17237.272,3,F20_1,20,1,adult
17237.272,41941.12,3,F20_1,20,1,adult
41941.12,77323.072,3,F20_1,20,1,adult
77323.072,40874.52,3,F20_1,20,1,adult
40874.52,7579.352,3,F20_1,20,1,adult
7579.352,,3,F20_1,20,0,adult
0.0,4.352,8,F20_2,20,1,adult
4.352,23.232,3,F20_2,20,1,adult
23.232,65.8,3,F20_2,20,1,adult
65.8,72.032,3,F20_2,20,1,adult
72.032,330.92,3,F20_2,20,1,adult
330.92,264.704,3,F20_2,20,1,adult
264.704,4931.576,3,F20_2,20,1,adult
4931.576,2907.108,3,F20_2,20,1,adult
2907.108,24976.784,3,F20_2,20,1,adult
24976.784,31885.344,3,F20_2,20,1,adult
31885.344,30276.496,3,F20_2,20,1,adult
30276.496,,3,F20_2,20,0,adult
0.0,24.864,8,F20_3,20,1,adult
24.864,34.296,3,F20_3,20,1,adult
34.296,78.112,3,F20_3,20,1,adult
78.112,802.328,3,F20_3,20,1,adult
802.328,3146.712,3,F20_3,20,1,adult
3146.712,52929.52,3,F20_3,20,1,adult
52929.52,11988.776,3,F20_3,20,1,adult
11988.776,6516.076,3,F20_3,20,1,adult
6516.076,25566.84,3,F20_3,20,1,adult
25566.84,12193.24,3,F20_3,20,1,adult
12193.24,83073.888,3,F20_3,20,1,adult
83073.888,41871.464,3,F20_3,20,1,adult
41871.464,37329.784,3,F20_3,20,1,adult
37329.784,,3,F20_3,20,0,adult
0.0,1.852,8,F20_4,20,1,adult
1.852,1.624,3,F20_4,20,1,adult
1.624,719.352,3,F20_4,20,1,adult
719.352,613.496,3,F20_4,20,1,adult
613.496,23459.768,3,F20_4,20,1,adult
23459.768,59698.112,3,F20_4,20,1,adult
59698.112,17565.584,3,F20_4,20,1,adult
17565.584,3348.3,3,F20_4,20,1,adult
3348.3,26670.92,3,F20_4,20,1,adult
26670.92,59257.336,3,F20_4,20,1,adult
59257.336,11123.448,3,F20_4,20,1,adult
11123.448,37466.944,3,F20_4,20,1,adult
37466.944,9296.648,3,F20_4,20,1,adult
9296.648,7500.984,3,F20_4,20,1,adult
7500.984,7415.416,3,F20_4,20,1,adult
7415.416,469.648,3,F20_4,20,1,adult
469.648,71.176,3,F20_4,20,1,adult
71.176,335.48,3,F20_4,20,1,adult
335.48,268.912,3,F20_4,20,1,adult
268.912,80.0,3,F20_4,20,1,adult
80.0,5.688,3,F20_4,20,1,adult
5.688,2699.896,3,F20_4,20,1,adult
2699.896,14.2,3,F20_4,20,1,adult
14.2,311.896,3,F20_4,20,1,adult
311.896,23631.0,3,F20_4,20,1,adult
23631.0,197.92,3,F20_4,20,1,adult
197.92,7069.84,3,F20_4,20,1,adult
7069.84,55112.736,3,F20_4,20,1,adult
55112.736,33069.184,3,F20_4,20,1,adult
33069.184,72009.088,3,F20_4,20,1,adult
72009.088,41167.432,3,F20_4,20,1,adult
41167.432,28098.928,3,F20_4,20,1,adult
28098.928,102210.304,3,F20_4,20,1,adult
102210.304,515365.272,3,F20_4,20,1,adult
515365.272,,3,F20_4,20,0,adult
0.0,0.0,8,F20_5,20,1,adult
0.0,3.464,3,F20_5,20,1,adult
3.464,69.104,3,F20_5,20,1,adult
69.104,57.792,3,F20_5,20,1,adult
57.792,30.96,3,F20_5,20,1,adult
30.96,2418.536,3,F20_5,20,1,adult
2418.536,1311.528,3,F20_5,20,1,adult
1311.528,856.032,3,F20_5,20,1,adult
856.032,13623.8,3,F20_5,20,1,adult
13623.8,10627.32,3,F20_5,20,1,adult
10627.32,4592.768,3,F20_5,20,1,adult
4592.768,31806.344,3,F20_5,20,1,adult
31806.344,5069.856,3,F20_5,20,1,adult
5069.856,5483.192,3,F20_5,20,1,adult
5483.192,3295.584,3,F20_5,20,1,adult
3295.584,0.0,3,F20_5,20,1,adult
0.0,0.0,3,F20_5,20,1,adult
0.0,210.256,3,F20_5,20,1,adult
210.256,240.424,3,F20_5,20,1,adult
240.424,90.704,3,F20_5,20,1,adult
90.704,123.36,3,F20_5,20,1,adult
123.36,140.352,3,F20_5,20,1,adult
140.352,27.64,3,F20_5,20,1,adult
27.64,200.944,3,F20_5,20,1,adult
200.944,62.736,3,F20_5,20,1,adult
62.736,282.024,3,F20_5,20,1,adult
282.024,197.896,3,F20_5,20,1,adult
197.896,121.44,3,F20_5,20,1,adult
121.44,217.44,3,F20_5,20,1,adult
217.44,87.944,3,F20_5,20,1,adult
87.944,74.144,3,F20_5,20,1,adult
74.144,320.816,3,F20_5,20,1,adult
320.816,1581.912,3,F20_5,20,1,adult
1581.912,197.52,3,F20_5,20,1,adult
197.52,191.224,3,F20_5,20,1,adult
191.224,376.248,3,F20_5,20,1,adult
376.248,127.528,3,F20_5,20,1,adult
127.528,597.312,3,F20_5,20,1,adult
597.312,0.0,120,F20_5,20,1,adult
0.0,1.96,8,F26_1,26,1,adult
1.96,1.336,3,F26_1,26,1,adult
1.336,2.824,3,F26_1,26,1,adult
2.824,29.728,3,F26_1,26,1,adult
29.728,82.6,3,F26_1,26,1,adult
82.6,3310.352,3,F26_1,26,1,adult
3310.352,1230.768,3,F26_1,26,1,adult
1230.768,6946.824,3,F26_1,26,1,adult
6946.824,97.248,3,F26_1,26,1,adult
97.248,598.536,3,F26_1,26,1,adult
598.536,123.248,3,F26_1,26,1,adult
123.248,9.704,3,F26_1,26,1,adult
9.704,4.88,3,F26_1,26,1,adult
4.88,0.616,3,F26_1,26,1,adult
0.616,0.0,3,F26_1,26,1,adult
0.0,3898.496,3,F26_1,26,1,adult
3898.496,0.0,3,F26_1,26,1,adult
0.0,,3,F26_1,26,0,adult
0.0,2.816,8,F26_2,26,1,adult
2.816,0.0,3,F26_2,26,1,adult
0.0,54.112,3,F26_2,26,1,adult
54.112,2104.048,3,F26_2,26,1,adult
2104.048,4683.568,3,F26_2,26,1,adult
4683.568,1406.488,3,F26_2,26,1,adult
1406.488,274.592,3,F26_2,26,1,adult
274.592,8.88,3,F26_2,26,1,adult
8.88,2.648,3,F26_2,26,1,adult
2.648,1.712,3,F26_2,26,1,adult
1.712,0.0,3,F26_2,26,1,adult
0.0,0.0,3,F26_2,26,1,adult
0.0,1.296,3,F26_2,26,1,adult
1.296,0.968,3,F26_2,26,1,adult
0.968,0.0,3,F26_2,26,1,adult
0.0,0.0,3,F26_2,26,1,adult
0.0,0.0,3,F26_2,26,1,adult
0.0,0.0,3,F26_2,26,1,adult
0.0,0.0,3,F26_2,26,1,adult
0.0,,3,F26_2,26,0,adult
0.0,0.0,8,F26_3,26,1,adult
0.0,8.128,3,F26_3,26,1,adult
8.128,102.592,3,F26_3,26,1,adult
102.592,211.92,3,F26_3,26,1,adult
211.92,2229.288,3,F26_3,26,1,adult
2229.288,589.112,3,F26_3,26,1,adult
589.112,613.928,3,F26_3,26,1,adult
613.928,218.624,3,F26_3,26,1,adult
218.624,11.328,3,F26_3,26,1,adult
11.328,13.56,3,F26_3,26,1,adult
13.56,16.528,3,F26_3,26,1,adult
16.528,7.088,3,F26_3,26,1,adult
7.088,1.024,3,F26_3,26,1,adult
1.024,0.0,3,F26_3,26,1,adult
0.0,0.0,3,F26_3,26,1,adult
0.0,,3,F26_3,26,0,adult
0.0,0.0,8,F26_4,26,1,adult
0.0,0.0,3,F26_4,26,1,adult
0.0,5.032,3,F26_4,26,1,adult
5.032,35.256,3,F26_4,26,1,adult
35.256,0.0,3,F26_4,26,1,adult
0.0,4.168,3,F26_4,26,1,adult
4.168,0.0,3,F26_4,26,1,adult
0.0,1.392,3,F26_4,26,1,adult
1.392,1.568,3,F26_4,26,1,adult
1.568,10.28,3,F26_4,26,1,adult
10.28,79.944,3,F26_4,26,1,adult
79.944,835.72,3,F26_4,26,1,adult
835.72,2656.968,3,F26_4,26,1,adult
2656.968,10526.128,3,F26_4,26,1,adult
10526.128,56412.248,3,F26_4,26,1,adult
56412.248,20.44,3,F26_4,26,1,adult
20.44,2832.432,3,F26_4,26,1,adult
2832.432,,3,F26_4,26,0,adult
0.0,0.0,8,F26_5,26,1,adult
0.0,0.664,3,F26_5,26,1,adult
0.664,0.0,3,F26_5,26,1,adult
0.0,9.088,3,F26_5,26,1,adult
9.088,38.696,3,F26_5,26,1,adult
38.696,408.672,3,F26_5,26,1,adult
408.672,868.048,3,F26_5,26,1,adult
868.048,928.176,3,F26_5,26,1,adult
928.176,684.2,3,F26_5,26,1,adult
684.2,840.448,3,F26_5,26,1,adult
840.448,10.936,3,F26_5,26,1,adult
10.936,4.672,3,F26_5,26,1,adult
4.672,16.048,3,F26_5,26,1,adult
16.048,0.0,3,F26_5,26,1,adult
0.0,0.0,3,F26_5,26,1,adult
0.0,,3,F26_5,26,0,adult
